dept,date,interest,reviewText,helpcount,nothelpcount
Anthropology,01/17/2008,Really into it,Crandall was ridiculous His lectures werent related to what we were graded on 6 papers basically His lectures didnt seem wellprepared for and he had us use texts that he wrote  I was really interested in learning about Anthropology but he made this class a whole lot of busywork I didnt feel I learned from the assignments,0,0
Chemistry,04/01/2011,Sorta interested,The worst professor I have ever had  So you know Im not a troll I thought Reich was absolutely amazing and lucid This man has incomprehensible lectures notes conducts his lectures horribly theyre very difficult to follow and he introduces a lot of material beyond whats in the textbook which complicates things further Do not take,0,0
Mathematics,11/10/2005,Really into it,her teaching style didnt adhere to my learning style and she was pretty unsympathetic when it came to class performance  She even yelled at the class when she was not satisfied with how we did on a test blaming our capabilities rather than looking at her teaching,0,0
Psychology,07/26/2007,Really into it,Team taught class Wenk seemed ok but got off topic a lot and it was hard to tell what was going to be tested  Tests were overly hard more like an upper level neurobiology class than a GEC  I do not recommend this 597 but the prof might be ok for other classes,0,0
Chemistry,12/01/2014,Meh,Terrible professor Flipped classroom does not work His prelecture assignments you have to watch online do not help you do the homework at all Do the practice midterms but they wont be similar to the tests at all I would never recommend Fus to another students Im going to end up with a D or C Cant explain concepts well,4,1
Religion,11/22/2006,It's my life,He Teaches OPINION not doctrine no I did not mix those up  Easy class just alot of writing,0,0
Science,11/13/2006,Meh,Anyone who tells you weather and climate is an easy class did not have Tripoli as a professor,0,0
Economics,11/01/2005,Sorta interested,Hes a very bright goofy MIT grad  hard tests and homework  You dont have many opportunities to grasp the concepts before you are tested on them  Most of the class doesnt understand what is going on  Take Lefgren,0,0
Psychology,05/09/2012,Low,I was disappointed in this class because I was looking forward to it being a really interesting Instead I was really turned off by his personality and that made it hard for me to muster the motivation to concentrate That and the fact that the lectures were hard to follow in the first place,0,0
Aerospace Engineering,12/05/2013,Really into it,Gave us alot of homeworks which should have been worth more than the exams Lab are overloaded Exams are impossible to destruction Whenever you ask him a question most of the time doesnt know the answer to it Our TA asked him a question nd he didnt give him answerhe just said good question And that was it,0,0
Science,01/07/2005,Sorta interested,I enjoyed the jokes at the beginning of class however that is excactly what this class was it was a joke  He taught for months and threw the test at you and if you studied something other then biology then you will probably do fine but if you try to study for his test you will fail,0,0
Family Studies,04/19/2009,Really into it,Dawna was ok the class was ridiculous Not enough time to do projects too strict of grading for a beginner class and they dont give you all the directions They expect you to know sewing as well as they do and once you screw up the TAs look at you like quotdidnt you know to do this63quot even though it wasnt in the directions Hated it,0,0
Agriculture,12/11/2012,Really into it,Not very helpful Covers WAY to much material and tests on the most random parts of it All tests are mainly fill in the blank and often dont make sense Grades the tests extremely hard,0,0
Cultural Studies,12/08/2009,Sorta interested,He is the worst teacher EVER drop any class you may have with him he will make your semester a living hell he never addresses the complexe readings and get off topic and talks about things that are not on the exams or in the papers he says dont worry  you will be fine he is lying he says come in for help he and the TAs are usless DROP,0,0
